_id,region,day,TempMax_Deg,TempMin_Deg,Wind_kmh,Wet_percent,Visibility_km,CloudCoverage_percent,pressure
ObjectId(63e4bbd04e31320bce166df3),Normandie,2020-09-14T00:00:00.000Z,27,18,11,67,10,16,187
ObjectId(63e4bbd04e31320bce166df4),Normandie,2020-09-15T00:00:00.000Z,21,17,14,93,9.875,57,59
ObjectId(63e4bbd04e31320bce166df5),Normandie,2020-09-16T00:00:00.000Z,23,15,24,91,9.75,33,97
ObjectId(63e4bbd04e31320bce166df6),Normandie,2020-09-17T00:00:00.000Z,24,11,22,80,10,7,194
ObjectId(63e4bbd04e31320bce166df7),Normandie,2020-09-18T00:00:00.000Z,24,16,10,89,9.125,64,183
ObjectId(63e4bbd04e31320bce166df8),Normandie,2020-09-19T00:00:00.000Z,23,16,16,92,9.75,52,4
ObjectId(63e4bbd04e31320bce166df9),Normandie,2020-09-20T00:00:00.000Z,22,15,11,81,9.75,33,40
ObjectId(63e4bbd04e31320bce166dfa),Normandie,2020-09-21T00:00:00.000Z,22,13,15,68,9.875,44,166
ObjectId(63e4bbd04e31320bce166dfb),Normandie,2020-09-22T00:00:00.000Z,19,14,23,92,9.875,75,39
ObjectId(63e4bbd04e31320bce166dfc),Normandie,2020-09-23T00:00:00.000Z,16,10,31,90,9.125,62,86
ObjectId(63e4bbd04e31320bce166dfd),Normandie,2020-09-24T00:00:00.000Z,13,10,40,82,9.875,73,195
ObjectId(63e4bbd04e31320bce166dfe),Normandie,2020-09-25T00:00:00.000Z,13,9,28,80,9.375,74,89
ObjectId(63e4bbd04e31320bce166dff),Normandie,2020-09-26T00:00:00.000Z,13,11,35,79,9,96,75
ObjectId(63e4bbd04e31320bce166e00),Normandie,2020-09-27T00:00:00.000Z,17,10,22,83,9,51,74
ObjectId(63e4bbd04e31320bce166e01),Normandie,2020-09-28T00:00:00.000Z,19,15,15,96,7,83,177
ObjectId(63e4bbd04e31320bce166e02),Normandie,2020-09-29T00:00:00.000Z,19,14,27,92,8.875,77,55
